code,text
Is contact information for senior administrative staff available?,Is contact information for senior administrative staff available?
END,END
"ISO codes (alpha-2,  lowercase)","ISO codes (alpha-2,  lowercase)"
subquestion,subquestion
"Aside from the general rules of procedure for the chamber, are there specific policies or guidelines designed to ensure that parliamentary data and information is open and accessible?","Aside from the general rules of procedure for the chamber, are there specific policies or guidelines designed to ensure that parliamentary data and information is open and accessible?"
Please provide citations or links to relevant policies or guidelines and briefly describe the role that these policies play in ensuring that parliamentary information is open and accessible to the public.,Please provide citations or links to relevant policies or guidelines and briefly describe the role that these policies play in ensuring that parliamentary information is open and accessible to the public.
"Are there rules of procedure or policies that require that parliamentary information be published in open formats? If online, please provide a link.","Are there rules of procedure or policies that require that parliamentary information be published in open formats? If online, please provide a link."
"In general, is parliamentary information openly licensed to allow for free reuse and redistribution?","In general, is parliamentary information openly licensed to allow for free reuse and redistribution?"
"Please describe how parliamentary information is licensed, including specific references to legal documents or guidelines. Please provide links, if available.","Please describe how parliamentary information is licensed, including specific references to legal documents or guidelines. Please provide links, if available."
Does the parliament officially require payment in exchange for access to certain parliamentary information?,Does the parliament officially require payment in exchange for access to certain parliamentary information?
"Please describe what information the parliament charges for, including details regarding which parliamentary information is not free and how much is charged for the information. Please provide links to relevant policies, if available.","Please describe what information the parliament charges for, including details regarding which parliamentary information is not free and how much is charged for the information. Please provide links to relevant policies, if available."
"Does the parliament have a public website? If yes, please provide a link.","Does the parliament have a public website? If yes, please provide a link."
How frequently does the parliament update its website?,How frequently does the parliament update its website?
"Does the parliament maintain offices outside the capital where citizens can access accurate, up-to-date parliamentary information?","Does the parliament maintain offices outside the capital where citizens can access accurate, up-to-date parliamentary information?"
"In instances where there are multiple working or national languages, does the parliament provide simultaneous interpretation of parliamentary proceedings?","In instances where there are multiple working or national languages, does the parliament provide simultaneous interpretation of parliamentary proceedings?"
"In instances where there are multiple working or national languages, does the parliament generally make documents available in all working languages?","In instances where there are multiple working or national languages, does the parliament generally make documents available in all working languages?"
What information is translated?,What information is translated?
Summaries are provided for,Summaries are provided for
"Does the parliamentary website have a publicly available privacy policy that allows website users to know what personal information is being collected and how that information is being used? If yes, please provide a link.","Does the parliamentary website have a publicly available privacy policy that allows website users to know what personal information is being collected and how that information is being used? If yes, please provide a link."
Link,Link
Technologies:,Technologies:
Types of Information:,Types of Information:
Committee activity?,Committee activity?
Introduction of bills?,Introduction of bills?
Changes to bills?,Changes to bills?
Passage of legislation?,Passage of legislation?
Votes?,Votes?
Is general information on the parliament's constitutional roles and functions available to the public?,Is general information on the parliament's constitutional roles and functions available to the public?
Is a complete version of the parliament's internal rules available to the public?,Is a complete version of the parliament's internal rules available to the public?
Is the parliament's session calendar available to the public?,Is the parliament's session calendar available to the public?
"Is the parliament's order of business, including its vote schedule, available to the public?","Is the parliament's order of business, including its vote schedule, available to the public?"
"In general, how far in advance is the public notified of the order of business and vote schedule?","In general, how far in advance is the public notified of the order of business and vote schedule?"
How can sessions be observed?,How can sessions be observed?
Are verbatim plenary transcripts available to the public?,Are verbatim plenary transcripts available to the public?
Are plenary roll call voting records available to the public?,Are plenary roll call voting records available to the public?
Are voting records searchable?,Are voting records searchable?
"Upon being introduced or tabled, is the text of draft legislation immediately available to the public?","Upon being introduced or tabled, is the text of draft legislation immediately available to the public?"
"If draft legislation is made publicly available, is the status of the bill in the legislative process easily accessible?","If draft legislation is made publicly available, is the status of the bill in the legislative process easily accessible?"
"Does the parliament maintain a web-based, searchable database of all enacted legislation?","Does the parliament maintain a web-based, searchable database of all enacted legislation?"
"With the exception of reports containing classified or confidential information, are all reports requested by or submitted to the parliament typically made available to the public?","With the exception of reports containing classified or confidential information, are all reports requested by or submitted to the parliament typically made available to the public?"
How soon after a session are transcripts published?,How soon after a session are transcripts published?
How soon after a session are voting records published?,How soon after a session are voting records published?
How soon after being tabled is draft legislation published?,How soon after being tabled is draft legislation published?
How soon after an action is bill status information published?,How soon after an action is bill status information published?
How soon after being presented are parliamentary reports published?,How soon after being presented are parliamentary reports published?
How can the information be accessed?,How can the information be accessed?
In what formats can the information be accessed?,In what formats can the information be accessed?
How much historical information is available?,How much historical information is available?
Is a general description of committee powers and functions available to the public?,Is a general description of committee powers and functions available to the public?
"If committees have their own internal rules, is information on committee rules available to the public?","If committees have their own internal rules, is information on committee rules available to the public?"
Is justification for private meetings provided?,Is justification for private meetings provided?
How can the public observe committee meetings?,How can the public observe committee meetings?
Is the committee schedule available to the public?,Is the committee schedule available to the public?
How far in advance is the committee schedule available?,How far in advance is the committee schedule available?
Are committee meeting agendas available to the public?,Are committee meeting agendas available to the public?
How in advance is the committee meeting agenda available?,How in advance is the committee meeting agenda available?
Are verbatim committee transcripts available to the public?,Are verbatim committee transcripts available to the public?
Are committee voting records available to the public?,Are committee voting records available to the public?
"With the exception of classified information, is evidence submitted to committees generally available to the public?","With the exception of classified information, is evidence submitted to committees generally available to the public?"
Are committee reports available to the public?,Are committee reports available to the public?
Are complete versions of committee resolutions available to the public?,Are complete versions of committee resolutions available to the public?
How soon after a meeting are transcripts available?,How soon after a meeting are transcripts available?
How soon after a vote are records available?,How soon after a vote are records available?
How soon after being submitted or presented is evidence available?,How soon after being submitted or presented is evidence available?
How soon after a resolution has passed is its text available?,How soon after a resolution has passed is its text available?
Is information on members' roles and committee memberships available to the public,Is information on members' roles and committee memberships available to the public
Is information on any party affiliation of members of parliament available to the public?,Is information on any party affiliation of members of parliament available to the public?
"Is contact information for members of parliament, including for any district and capital offices they maintain, available to the public?","Is contact information for members of parliament, including for any district and capital offices they maintain, available to the public?"
Is an individual member of parliament's attendance record for plenary sessions available to the public?,Is an individual member of parliament's attendance record for plenary sessions available to the public?
Is an individual member of parliament's attendance record for committee meetings available to the public?,Is an individual member of parliament's attendance record for committee meetings available to the public?
Is information on an individual member of parliament's expenses available to the public?,Is information on an individual member of parliament's expenses available to the public?
Is there a publicly available registry that lists active lobbyists or pressure groups and that provides basic information on their activities?,Is there a publicly available registry that lists active lobbyists or pressure groups and that provides basic information on their activities?
Is information regarding a member of parliament's assets and interests available to the public?,Is information regarding a member of parliament's assets and interests available to the public?
Is information regarding a member of parliament's involvement on corporate boards available to the public?,Is information regarding a member of parliament's involvement on corporate boards available to the public?
"Once completed, are the results of internal parliamentary investigations into conflicts of interest or ethics violations available to the public?","Once completed, are the results of internal parliamentary investigations into conflicts of interest or ethics violations available to the public?"
Is the parliament's budget available to the public?,Is the parliament's budget available to the public?
Is information about parliamentary expenditures available to the public?,Is information about parliamentary expenditures available to the public?
Is information on the roles and structure of parliament's administrative offices available to the public?,Is information on the roles and structure of parliament's administrative offices available to the public?
Is contact information for senior administrative staff available to the public?,Is contact information for senior administrative staff available to the public?
category,category
Accessibility,Accessibility
Plenary,Plenary
"Plenary, Citizen Participation","Plenary, Citizen Participation"
Committees,Committees
"Committees, Citizen Participation","Committees, Citizen Participation"
"MPs, Committees","MPs, Committees"
MPs,MPs
"MPs, Citizen Participation","MPs, Citizen Participation"
"MPs, Plenary","MPs, Plenary"
"MPs, Ethics","MPs, Ethics"
Ethics,Ethics
Administration,Administration
"Administration, Ethics","Administration, Ethics"
"Administration, Citizen Participation","Administration, Citizen Participation"
Romania,Romania
No,No
Yes,Yes
Daily,Daily
None of the above,None of the above
Other,Other
Not available,Not available
"Yes, online","Yes, online"
"Yes, offline","Yes, offline"
http://www.cdep.ro/pls/dic/site.page?id=204,http://www.cdep.ro/pls/dic/site.page?id=204
http://www.cdep.ro/pdfs/regulament_republicat2012.pdf,http://www.cdep.ro/pdfs/regulament_republicat2012.pdf
http://www.cdep.ro/pls/caseta/eCaseta.Agenda,http://www.cdep.ro/pls/caseta/eCaseta.Agenda
http://www.cdep.ro/pls/caseta/eCaseta.OrdineZi,http://www.cdep.ro/pls/caseta/eCaseta.OrdineZi
1-3 days,1-3 days
In-person at the parliament,In-person at the parliament
Web streaming,Web streaming
On demand archival streaming,On demand archival streaming
http://www.cdep.ro/,http://www.cdep.ro/
http://www.cdep.ro/pls/steno/steno.video?sursa=1,http://www.cdep.ro/pls/steno/steno.video?sursa=1
http://www.cdep.ro/pls/steno/steno.home,http://www.cdep.ro/pls/steno/steno.home
http://www.cdep.ro/pls/steno/eVot.Data,http://www.cdep.ro/pls/steno/eVot.Data
http://www.cdep.ro/pls/steno/evot.nominal?idv=11969&idl=1,http://www.cdep.ro/pls/steno/evot.nominal?idv=11969&idl=1
http://www.cdep.ro/pls/proiecte/upl_pck.home,http://www.cdep.ro/pls/proiecte/upl_pck.home
"Yes, online ","Yes, online "
4 - 6 days,4 - 6 days
1 - 3 days,1 - 3 days
1 - 2 weeks,1 - 2 weeks
Parliamentary website ,Parliamentary website 
API,API
HTML,HTML
XML,XML
PDF,PDF
10 or more years,10 or more years
http://www.cdep.ro/pls/dic/site.page?den=introcd1-g,http://www.cdep.ro/pls/dic/site.page?den=introcd1-g
http://www.cdep.ro/pls/dic/site.page?den=regcd1_1#s15,http://www.cdep.ro/pls/dic/site.page?den=regcd1_1#s15
http://www.cdep.ro/co/sedinte.comisii?care=1,http://www.cdep.ro/co/sedinte.comisii?care=1
www.cdep.ro,www.cdep.ro
http://www.cdep.ro/co/sedinte.lista,http://www.cdep.ro/co/sedinte.lista
Available on the page of each bill,Available on the page of each bill
Parliamentary website,Parliamentary website
7 - 9 years,7 - 9 years
http://www.cdep.ro/pls/parlam/structura.co?leg=2012,http://www.cdep.ro/pls/parlam/structura.co?leg=2012
http://www.cdep.ro/pls/parlam/structura.fp?leg=2012,http://www.cdep.ro/pls/parlam/structura.fp?leg=2012
http://www.cdep.ro/pls/parlam/structura.de?leg=2012&par=C,http://www.cdep.ro/pls/parlam/structura.de?leg=2012&par=C
http://www.cdep.ro/pls/parlam/informatii_economice.home,http://www.cdep.ro/pls/parlam/informatii_economice.home
http://www.cdep.ro/pls/dic/site.page?id=405,http://www.cdep.ro/pls/dic/site.page?id=405
Official bulletin or publication,Official bulletin or publication
Printed copy,Printed copy
4 - 6 years,4 - 6 years
http://www.cdep.ro/informatii_publice/achizitii.home,http://www.cdep.ro/informatii_publice/achizitii.home
http://www.cdep.ro/pls/dic/site.page?den=servicii1,http://www.cdep.ro/pls/dic/site.page?den=servicii1
http://www.cdep.ro/pls/dic/servicii.conducere,http://www.cdep.ro/pls/dic/servicii.conducere
Finland,Finland
http://eduskunta.fi,http://eduskunta.fi
"Yes, with minimal delays to allow for translation (typically less than 24 hours)","Yes, with minimal delays to allow for translation (typically less than 24 hours)"
Session calendars,Session calendars
Order of business,Order of business
Plenary transcripts,Plenary transcripts
Committee transcripts ,Committee transcripts 
Plenary voting records,Plenary voting records
Legislation,Legislation
Draft bills,Draft bills
Election results,Election results
Committee membership,Committee membership
Parliamentary roles and functions,Parliamentary roles and functions
Parliamentary rules of procedure,Parliamentary rules of procedure
Some info: http://web.eduskunta.fi/Resource.phx/parliament/aboutparliament/legislativework.htx,Some info: http://web.eduskunta.fi/Resource.phx/parliament/aboutparliament/legislativework.htx
http://www.finlex.fi/fi/laki/ajantasa/2000/20000040,http://www.finlex.fi/fi/laki/ajantasa/2000/20000040
http://web.eduskunta.fi/Resource.phx/eduskunta/organisaatio/taysistunto/taysistuntoeikaynnissa/istuntosuunnitelma.htx,http://web.eduskunta.fi/Resource.phx/eduskunta/organisaatio/taysistunto/taysistuntoeikaynnissa/istuntosuunnitelma.htx
The next plenary session schedule is at http://web.eduskunta.fi/Resource.phx/eduskunta/organisaatio/taysistunto/taysistuntoeikaynnissa/index.htx,The next plenary session schedule is at http://web.eduskunta.fi/Resource.phx/eduskunta/organisaatio/taysistunto/taysistuntoeikaynnissa/index.htx
1-2 weeks,1-2 weeks
http://verkkolahetys.eduskunta.fi/,http://verkkolahetys.eduskunta.fi/
http://www.eduskunta.fi,http://www.eduskunta.fi
Example of how votes are shown: http://www.eduskunta.fi/triphome/bin/thw.cgi/trip/?${APPL}=aanestysu&${BASE}=aanestysu&${THWIDS}=0.28/1409995048_361694&${oohtml}=aax/hex5000&${html}=aax/aax5000&${snhtml}=aax/aaxnosyn&${savehtml}=/thwfakta/aanestys/aax/aax.htm,Example of how votes are shown: http://www.eduskunta.fi/triphome/bin/thw.cgi/trip/?${APPL}=aanestysu&${BASE}=aanestysu&${THWIDS}=0.28/1409995048_361694&${oohtml}=aax/hex5000&${html}=aax/aax5000&${snhtml}=aax/aaxnosyn&${savehtml}=/thwfakta/aanestys/aax/aax.htm
http://217.71.145.20/TRIPviewer/show.asp?tunniste=HE+115/2014&base=erhe&palvelin=www.eduskunta.fi&f=WORD,http://217.71.145.20/TRIPviewer/show.asp?tunniste=HE+115/2014&base=erhe&palvelin=www.eduskunta.fi&f=WORD
http://www.eduskunta.fi/triphome/bin/vex4000.sh?${APPL}=veps99&${BASE}=veps99&${THWIDS}=5.3/1409995143_397520&${TRIPSHOW}=html=vex/vex5000+form=vex5000&${THWURLSAVE}=3/1409995143_397520&${savehtml}=/thwfakta/vpasia/vex/vex7000.shtml,http://www.eduskunta.fi/triphome/bin/vex4000.sh?${APPL}=veps99&${BASE}=veps99&${THWIDS}=5.3/1409995143_397520&${TRIPSHOW}=html=vex/vex5000+form=vex5000&${THWURLSAVE}=3/1409995143_397520&${savehtml}=/thwfakta/vpasia/vex/vex7000.shtml
The Ministry of Justice maintains a database of all legislation: http://finlex.fi. ,The Ministry of Justice maintains a database of all legislation: http://finlex.fi. 
Less than 24 hours,Less than 24 hours
More than 2 weeks,More than 2 weeks
Official bulletin or publication ,Official bulletin or publication 
Less than 1 year,Less than 1 year
http://web.eduskunta.fi/Resource.phx/eduskunta/tervetuloa/valiokunta/valiokunta.htx#Valiokuntien%20tehtävät,http://web.eduskunta.fi/Resource.phx/eduskunta/tervetuloa/valiokunta/valiokunta.htx#Valiokuntien%20tehtävät
http://web.eduskunta.fi/dman/Document.phx?documentId=ob11809144556004&cmd=download,http://web.eduskunta.fi/dman/Document.phx?documentId=ob11809144556004&cmd=download
Committee meetings are by default not public in Finland unfortunately...,Committee meetings are by default not public in Finland unfortunately...
Committee meetings are not generally open to the public,Committee meetings are not generally open to the public
if live streamed then also available on demand,if live streamed then also available on demand
sometimes,sometimes
"on the committee pages, e.g. http://web.eduskunta.fi/Resource.phx/valiokunnat/valiokunta-siv01/index.htx?url=/plaza/toimielimet/muut/zvkseuraavakokous_siv01_su.html&te=siv01&lng=fi","on the committee pages, e.g. http://web.eduskunta.fi/Resource.phx/valiokunnat/valiokunta-siv01/index.htx?url=/plaza/toimielimet/muut/zvkseuraavakokous_siv01_su.html&te=siv01&lng=fi"
4-6 days,4-6 days
e.g. http://web.eduskunta.fi/Resource.phx/valiokunnat/valiokunta-siv01/index.htx?url=/plaza/toimielimet/muut/zvkseuraavakokous_siv01_su.html&te=siv01&lng=fi,e.g. http://web.eduskunta.fi/Resource.phx/valiokunnat/valiokunta-siv01/index.htx?url=/plaza/toimielimet/muut/zvkseuraavakokous_siv01_su.html&te=siv01&lng=fi
http://www.eduskunta.fi/triphome/bin/hex5000.sh?hnro=605&kieli=su,http://www.eduskunta.fi/triphome/bin/hex5000.sh?hnro=605&kieli=su
http://www.eduskunta.fi/triphome/bin/tixhaku.sh?lyh=ptil?liite=06_2014?lomake=tix5200 ,http://www.eduskunta.fi/triphome/bin/tixhaku.sh?lyh=ptil?liite=06_2014?lomake=tix5200 
"yes, but no overview per candidate, e.g. http://www.eduskunta.fi/triphome/bin/tixhaku.sh?lyh=lo_siv?liite=14k?lomake=tix5200","yes, but no overview per candidate, e.g. http://www.eduskunta.fi/triphome/bin/tixhaku.sh?lyh=lo_siv?liite=14k?lomake=tix5200"
http://www.eduskunta.fi/triphome/bin/hex5000.sh?hnro=605&kieli=su&haku=sido,http://www.eduskunta.fi/triphome/bin/hex5000.sh?hnro=605&kieli=su&haku=sido
1 - 3 years,1 - 3 years
http://www.hankintailmoitukset.fi/fi/notice/search/?_s%5B_sent%5D=1&_s%5Bphrase%5D=eduskunta,http://www.hankintailmoitukset.fi/fi/notice/search/?_s%5B_sent%5D=1&_s%5Bphrase%5D=eduskunta
http://web.eduskunta.fi/Resource.phx/eduskunta/organisaatio/hallinto/organisaatiokaavio.htx,http://web.eduskunta.fi/Resource.phx/eduskunta/organisaatio/hallinto/organisaatiokaavio.htx
http://www.eduskunta.fi/triphome/bin/hkx3000.sh?haku=selaus&YKSIKKO=kk&org=2,http://www.eduskunta.fi/triphome/bin/hkx3000.sh?haku=selaus&YKSIKKO=kk&org=2
Ireland,Ireland
http://www.oireachtas.ie,http://www.oireachtas.ie
Multiple times daily ,Multiple times daily 
"No, records are made available only in the original language","No, records are made available only in the original language"
http://www.oireachtas.ie/parliament/privacypolicy/,http://www.oireachtas.ie/parliament/privacypolicy/
"Yes, using email","Yes, using email"
"Yes, using RSS","Yes, using RSS"
http://www.oireachtas.ie/parliament/about/,http://www.oireachtas.ie/parliament/about/
http://www.oireachtas.ie/ViewDoc.asp?DocId=-1&CatID=5,http://www.oireachtas.ie/ViewDoc.asp?DocId=-1&CatID=5
http://www.oireachtas.ie/parliament/,http://www.oireachtas.ie/parliament/
http://www.oireachtas.ie/documents/thisweek/AppSchedule.asp,http://www.oireachtas.ie/documents/thisweek/AppSchedule.asp
Live television,Live television
http://www.oireachtas.ie/ViewDoc.asp?fn=/documents/livewebcast/Web-Live.htm&CatID=83&m=o,http://www.oireachtas.ie/ViewDoc.asp?fn=/documents/livewebcast/Web-Live.htm&CatID=83&m=o
http://www.oireachtas.ie/ViewDoc.asp?DocId=-1&CatID=130&m=o,http://www.oireachtas.ie/ViewDoc.asp?DocId=-1&CatID=130&m=o
http://oireachtasdebates.oireachtas.ie,http://oireachtasdebates.oireachtas.ie
http://www.oireachtas.ie/bills,http://www.oireachtas.ie/bills
http://www.oireachtas.ie/parliament/media/michelle/parliamentworks/Parliamentary-Guide-Eng-(web).pdf,http://www.oireachtas.ie/parliament/media/michelle/parliamentworks/Parliamentary-Guide-Eng-(web).pdf
http://www.oireachtas.ie/viewdoc.asp?DocID=-1&StartDate=1+January+2011&CatID=5,http://www.oireachtas.ie/viewdoc.asp?DocID=-1&StartDate=1+January+2011&CatID=5
http://www.oireachtas.ie/parliament/watchlisten/,http://www.oireachtas.ie/parliament/watchlisten/
http://www.oireachtas.ie/ViewDoc.asp?DocId=-1&CatID=60&m=w,http://www.oireachtas.ie/ViewDoc.asp?DocId=-1&CatID=60&m=w
http://oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/yearlist?readform&chamber=committees,http://oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/yearlist?readform&chamber=committees
http://www.oireachtas.ie/parliament/oireachtasbusiness/www.oireachtas/committees/committee-reports/,http://www.oireachtas.ie/parliament/oireachtasbusiness/www.oireachtas/committees/committee-reports/
Word document (.doc),Word document (.doc)
http://www.oireachtas.ie/members-hist/default.asp,http://www.oireachtas.ie/members-hist/default.asp
http://www.oireachtas.ie/viewdoc.asp?m=&DocID=-1&CatID=173,http://www.oireachtas.ie/viewdoc.asp?m=&DocID=-1&CatID=173
http://www.oireachtas.ie/ViewDoc.asp?DocId=-1&CatID=169&m=m,http://www.oireachtas.ie/ViewDoc.asp?DocId=-1&CatID=169&m=m
http://www.oireachtas.ie/parliament/tdssenators/registerofmembersinterests/,http://www.oireachtas.ie/parliament/tdssenators/registerofmembersinterests/
http://www.oireachtas.ie/parliament/oireachtasbusiness/committees_list/dailmembersinterests/,http://www.oireachtas.ie/parliament/oireachtasbusiness/committees_list/dailmembersinterests/
http://www.oireachtas.ie/parliament/about/publications/annualaccounts/,http://www.oireachtas.ie/parliament/about/publications/annualaccounts/
http://www.oireachtas.ie/parliament/about/administration/,http://www.oireachtas.ie/parliament/about/administration/
South Korea,South Korea
https://www.data.go.kr/#/L2NvbW0vY29tbW9uU2VhcmNoL29yZ2luRGF0YVNldCRAXjAxMiRAXm9yaWdpbmxTZXRQaz0zMDM3Mjg2,https://www.data.go.kr/#/L2NvbW0vY29tbW9uU2VhcmNoL29yZ2luRGF0YVNldCRAXjAxMiRAXm9yaWdpbmxTZXRQaz0zMDM3Mjg2
http://korea.assembly.go.kr/,http://korea.assembly.go.kr/
Summaries of enacted legislation,Summaries of enacted legislation
Summaries of tabled bills,Summaries of tabled bills
Committee information,Committee information
http://likms.assembly.go.kr/bill/jsp/BillDetail.jsp?bill_id=PRC_A1Z4Z0T2V2N7T0R0Y1O5Z4A3U6R4O2,http://likms.assembly.go.kr/bill/jsp/BillDetail.jsp?bill_id=PRC_A1Z4Z0T2V2N7T0R0Y1O5Z4A3U6R4O2
http://korea.assembly.go.kr/privacy/privacyPolicy.jsp,http://korea.assembly.go.kr/privacy/privacyPolicy.jsp
http://korea.assembly.go.kr,http://korea.assembly.go.kr
http://www.assembly.go.kr/assm/assemact/council/council0101/assmSchCal/assemSchCal.do,http://www.assembly.go.kr/assm/assemact/council/council0101/assmSchCal/assemSchCal.do
TV,TV
http://likms.assembly.go.kr/bill/jsp/LatestPassedBill.jsp,http://likms.assembly.go.kr/bill/jsp/LatestPassedBill.jsp
Mobile device,Mobile device
http://www.assembly.go.kr/views/cms/assm/assembly/assorgani/assorgani0301.jsp,http://www.assembly.go.kr/views/cms/assm/assembly/assorgani/assorgani0301.jsp
http://www.assembly.go.kr/assm/assemact/council/council0102/assmSchNotice/assmSchNoticeList.do,http://www.assembly.go.kr/assm/assemact/council/council0102/assmSchNotice/assmSchNoticeList.do
http://www.assembly.go.kr/assm/memact/congressman/memCond/memCond.do,http://www.assembly.go.kr/assm/memact/congressman/memCond/memCond.do
the same website..,the same website..
http://www.assembly.go.kr/assm/assemact/account/account0101/assmBudget/budgetUserList.do,http://www.assembly.go.kr/assm/assemact/account/account0101/assmBudget/budgetUserList.do
http://www.assembly.go.kr/assm/assemact/account/account0102/assmAccount/accountUserList.do,http://www.assembly.go.kr/assm/assemact/account/account0102/assmAccount/accountUserList.do
http://www.assembly.go.kr/views/cms/assm/assembly/assorgani/assorgani01.jsp,http://www.assembly.go.kr/views/cms/assm/assembly/assorgani/assorgani01.jsp
http://www.assembly.go.kr/views/cms/assm/memact/chairman/chairman03.jsp,http://www.assembly.go.kr/views/cms/assm/memact/chairman/chairman03.jsp
Israel,Israel
http://knesset.gov.il/rules/eng/contents.htm,http://knesset.gov.il/rules/eng/contents.htm
http://knesset.gov.il/main/eng/home.asp,http://knesset.gov.il/main/eng/home.asp
The main language is Hebrew. Speeches in other languages will be translated to Hebrew.,The main language is Hebrew. Speeches in other languages will be translated to Hebrew.
http://knesset.gov.il/description/eng/eng_work_org.htm,http://knesset.gov.il/description/eng/eng_work_org.htm
http://www.knesset.gov.il/privatelaw/Plaw_display.asp?lawtp=2,http://www.knesset.gov.il/privatelaw/Plaw_display.asp?lawtp=2
http://knesset.gov.il/description/eng/eng_work_mel2.htm,http://knesset.gov.il/description/eng/eng_work_mel2.htm
RSS,RSS
http://main.knesset.gov.il/Activity/Documents/RulesOfProcedure.pdf,http://main.knesset.gov.il/Activity/Documents/RulesOfProcedure.pdf
http://main.knesset.gov.il/Pages/default.aspx,http://main.knesset.gov.il/Pages/default.aspx
http://www.knesset.gov.il,http://www.knesset.gov.il
knesset.gov.il,knesset.gov.il
http://online.knesset.gov.il/eprotocol/PUBLIC/SearchPEOnline.aspx,http://online.knesset.gov.il/eprotocol/PUBLIC/SearchPEOnline.aspx
http://main.knesset.gov.il/Activity/plenum/Pages/DivreyHaknessetMenu.aspx,http://main.knesset.gov.il/Activity/plenum/Pages/DivreyHaknessetMenu.aspx
: http://www.knesset.gov.il/vote/heb/vote_search.asp,: http://www.knesset.gov.il/vote/heb/vote_search.asp
http://www.knesset.gov.il/privatelaw/Plaw_display.asp?lawtp=1,http://www.knesset.gov.il/privatelaw/Plaw_display.asp?lawtp=1
www.knesset.gov.il,www.knesset.gov.il
http://main.knesset.gov.il/Activity/committees/Pages/default.aspx,http://main.knesset.gov.il/Activity/committees/Pages/default.aspx
"Committee rules are part of the rules and procedures of the parliament, seen here: http://knesset.gov.il/rules/eng/contents.htm. ","Committee rules are part of the rules and procedures of the parliament, seen here: http://knesset.gov.il/rules/eng/contents.htm. "
: http://main.knesset.gov.il/News/Broadcast/Pages/CommitteeBroadcastArchive.aspx,: http://main.knesset.gov.il/News/Broadcast/Pages/CommitteeBroadcastArchive.aspx
: http://main.knesset.gov.il/News/Broadcast/Pages/default.aspx,: http://main.knesset.gov.il/News/Broadcast/Pages/default.aspx
committee meetings are generally open to the public,committee meetings are generally open to the public
http://www.knesset.gov.il/agenda/heb/today.asp?view=committee,http://www.knesset.gov.il/agenda/heb/today.asp?view=committee
http://www.knesset.gov.il/agenda/heb/seder_vad.asp,http://www.knesset.gov.il/agenda/heb/seder_vad.asp
http://www.knesset.gov.il/protocols/search.asp,http://www.knesset.gov.il/protocols/search.asp
